,word,emotion,association
0,aback,anger,0
1,aback,anticipation,0
2,aback,disgust,0
3,aback,fear,0
4,aback,joy,0
5,aback,negative,0
6,aback,positive,0
7,aback,sadness,0
8,aback,surprise,0
9,aback,trust,0
10,abacus,anger,0
11,abacus,anticipation,0
12,abacus,disgust,0
13,abacus,fear,0
14,abacus,joy,0
15,abacus,negative,0
16,abacus,positive,0
17,abacus,sadness,0
18,abacus,surprise,0
19,abacus,trust,1
20,abandon,anger,0
21,abandon,anticipation,0
22,abandon,disgust,0
23,abandon,fear,1
24,abandon,joy,0
25,abandon,negative,1
26,abandon,positive,0
27,abandon,sadness,1
28,abandon,surprise,0
29,abandon,trust,0
30,abandoned,anger,1
31,abandoned,anticipation,0
32,abandoned,disgust,0
33,abandoned,fear,1
34,abandoned,joy,0
35,abandoned,negative,1
36,abandoned,positive,0
37,abandoned,sadness,1
38,abandoned,surprise,0
39,abandoned,trust,0
40,abandonment,anger,1
41,abandonment,anticipation,0
42,abandonment,disgust,0
43,abandonment,fear,1
44,abandonment,joy,0
45,abandonment,negative,1
46,abandonment,positive,0
47,abandonment,sadness,1
48,abandonment,surprise,1
49,abandonment,trust,0
50,abate,anger,0
51,abate,anticipation,0
52,abate,disgust,0
53,abate,fear,0
54,abate,joy,0
55,abate,negative,0
56,abate,positive,0
57,abate,sadness,0
58,abate,surprise,0
59,abate,trust,0
60,abatement,anger,0
61,abatement,anticipation,0
62,abatement,disgust,0
63,abatement,fear,0
64,abatement,joy,0
65,abatement,negative,0
66,abatement,positive,0
67,abatement,sadness,0
68,abatement,surprise,0
69,abatement,trust,0
70,abba,anger,0
71,abba,anticipation,0
72,abba,disgust,0
73,abba,fear,0
74,abba,joy,0
75,abba,negative,0
76,abba,positive,1
77,abba,sadness,0
78,abba,surprise,0
79,abba,trust,0
80,abbot,anger,0
81,abbot,anticipation,0
82,abbot,disgust,0
83,abbot,fear,0
84,abbot,joy,0
85,abbot,negative,0
86,abbot,positive,0
87,abbot,sadness,0
88,abbot,surprise,0
89,abbot,trust,1
90,abbreviate,anger,0
91,abbreviate,anticipation,0
92,abbreviate,disgust,0
93,abbreviate,fear,0
94,abbreviate,joy,0
95,abbreviate,negative,0
96,abbreviate,positive,0
97,abbreviate,sadness,0
98,abbreviate,surprise,0
99,abbreviate,trust,0
100,abbreviation,anger,0
101,abbreviation,anticipation,0
102,abbreviation,disgust,0
103,abbreviation,fear,0
104,abbreviation,joy,0
105,abbreviation,negative,0
106,abbreviation,positive,0
107,abbreviation,sadness,0
108,abbreviation,surprise,0
109,abbreviation,trust,0
110,abdomen,anger,0
111,abdomen,anticipation,0
112,abdomen,disgust,0
113,abdomen,fear,0
114,abdomen,joy,0
115,abdomen,negative,0
116,abdomen,positive,0
117,abdomen,sadness,0
118,abdomen,surprise,0
119,abdomen,trust,0
120,abdominal,anger,0
121,abdominal,anticipation,0
122,abdominal,disgust,0
123,abdominal,fear,0
124,abdominal,joy,0
125,abdominal,negative,0
126,abdominal,positive,0
127,abdominal,sadness,0
128,abdominal,surprise,0
129,abdominal,trust,0
130,abduction,anger,0
131,abduction,anticipation,0
132,abduction,disgust,0
133,abduction,fear,1
134,abduction,joy,0
135,abduction,negative,1
136,abduction,positive,0
137,abduction,sadness,1
138,abduction,surprise,1
139,abduction,trust,0
140,aberrant,anger,0
141,aberrant,anticipation,0
142,aberrant,disgust,0
143,aberrant,fear,0
144,aberrant,joy,0
145,aberrant,negative,1
146,aberrant,positive,0
147,aberrant,sadness,0
148,aberrant,surprise,0
149,aberrant,trust,0
150,aberration,anger,0
151,aberration,anticipation,0
152,aberration,disgust,1
153,aberration,fear,0
154,aberration,joy,0
155,aberration,negative,1
156,aberration,positive,0
157,aberration,sadness,0
158,aberration,surprise,0
159,aberration,trust,0
160,abeyance,anger,0
161,abeyance,anticipation,0
162,abeyance,disgust,0
163,abeyance,fear,0
164,abeyance,joy,0
165,abeyance,negative,0
166,abeyance,positive,0
167,abeyance,sadness,0
168,abeyance,surprise,0
169,abeyance,trust,0
170,abhor,anger,1
171,abhor,anticipation,0
172,abhor,disgust,1
173,abhor,fear,1
174,abhor,joy,0
175,abhor,negative,1
176,abhor,positive,0
177,abhor,sadness,0
178,abhor,surprise,0
179,abhor,trust,0
180,abhorrent,anger,1
181,abhorrent,anticipation,0
